"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"173-74","65-69 WALKER ST #4","102","CONDOMINIUM",0,0,282500,282500," 47874/ 332",7/27/2006,"APARTMENT",550,"AP",1847,"1"
"173-74","65-69 WALKER ST #5","102","CONDOMINIUM",0,0,295800,295800," 46027/ 330",9/2/2005,"ATTIC",539,"AT",1847,"2"
"173-74","65-69 WALKER ST #B","102","CONDOMINIUM",0,0,239200,239200," 47997/ 371",8/18/2006,"BASEMENT",479,"BS",1847,"1"
"173-74","65-69 WALKER ST #69","102","CONDOMINIUM",0,0,698100,698100," 59498/  82",7/11/2012,"SEMIDETACHED",1802,"SD",1847,"2"
"173-74","65-69 WALKER ST #69A","102","CONDOMINIUM",0,0,444200,444200," 60484/ 244",11/14/2012,"SEMIDETACHED",871,"AP",1847,"2"
"173-75","1640 MASSACHUSETTS AVE","0340","MXD GEN-OFFICE",6538.0001148,800300,220500,1020800,"/",1/1/1900,"OFFICE",5166,"3",1900,"2.75"
"173-78","5 CHAUNCY ST","105","THREE-FM-RES",6547.0000464,826400,418200,1244600," 56941/ 129",6/2/2011,"OLD STYLE THREE FAM",7668,"ST",1900,"2.5"
"173-79","22 SHEPARD ST","101","SNGL-FAM-RES",3078.9998316,533000,261700,794700," 28539/ 528",1/27/1995,"CONVENTIONAL",3121,"BK",1873,"2.25"
"173-80","24 SHEPARD ST","105","THREE-FM-RES",5399.9999064,737600,725900,1463500," 12972/ 296",5/6/1976,"DECKER",6333,"BK",1902,"3"
"173-81","10-12 SHEPARD ST","199","CONDO-BLDG",6102.999936,0,0,0,"/",1/1/1900,"",7607,"",1910,"2.75"
"173-81","10 SHEPARD ST #1","102","CONDOMINIUM",0,0,188100,188100," 51690/ 368",9/17/2008,"BASEMENT",415,"BS",1910,"1"
"173-81","10 SHEPARD ST #2","102","CONDOMINIUM",0,0,253000,253000," 45485/ 311",6/28/2005,"BASEMENT",731,"",1910,"1"
"173-81","10 SHEPARD ST #3","102","CONDOMINIUM",0,0,458200,458200," 31523/ 579",6/21/2000,"APARTMENT",1122,"AP",1910,"2"
"173-81","10 SHEPARD ST #4","102","CONDOMINIUM",0,0,257900,257900," 14741/ 419",9/29/1982,"APARTMENT",473,"",1910,"1"
"173-81","10 SHEPARD ST #5","102","CONDOMINIUM",0,0,273800,273800," 58997/ 437",4/30/2012,"APARTMENT",479,"",1910,"1"
"173-81","10 SHEPARD ST #7","102","CONDOMINIUM",0,0,257900,257900," 13801/ 263",9/28/1979,"APARTMENT",473,"",1910,"1"
"173-81","10 SHEPARD ST #8","102","CONDOMINIUM",0,0,273800,273800," 47903/ 249",7/31/2006,"APARTMENT",479,"",1910,"1"
"173-81","10 SHEPARD ST #9","102","CONDOMINIUM",0,0,392600,392600," 33420/ 124",6/4/1986,"ATTIC",985,"AT",1910,"1"
"173-82","9 CHAUNCY LN","101","SNGL-FAM-RES",1236.0001896,587400,431300,1018700," 31868/  23",12/12/1968,"TOWNHOUSE",2908,"CN",1967,"3"
"173-83","8 CHAUNCY LN","101","SNGL-FAM-RES",1236.0001896,587400,662500,1249900," 59393/  26",6/27/2012,"TOWNHOUSE",2908,"CN",1968,"3"
"173-84","7 CHAUNCY LN","101","SNGL-FAM-RES",1236.0001896,587400,327800,915200," 30858/  33",11/12/1999,"TOWNHOUSE",2352,"CN",1968,"3"
"173-85","6 CHAUNCY LN","101","SNGL-FAM-RES",1460.0000844,598700,361000,959700," 35862/ 050",7/10/2002,"TOWNHSE-END",2670,"CN",1969,"3"
"173-86","5 CHAUNCY LN","101","SNGL-FAM-RES",2069.9999496,624600,339200,963800," 24123/  39",1/3/1994,"TOWNHOUSE",2510,"CN",1968,"3"
"173-87","4 CHAUNCY LN","101","SNGL-FAM-RES",1549.999836,601500,397500,999000," 20794/ 232",9/28/1990,"TOWNHOUSE",2798,"CN",1968,"3"
